[2019-05-09 15:20:35 ^6823.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:35 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6823] abnormal exit, status=255, signal=0
[2019-05-09 15:20:35 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6824] abnormal exit, status=255, signal=0
[2019-05-09 15:20:35 ^6825.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:35 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6825] abnormal exit, status=255, signal=0
[2019-05-09 15:20:35 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6826] abnormal exit, status=255, signal=0
[2019-05-09 15:20:35 ^6827.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6827] abnormal exit, status=255, signal=0
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6828] abnormal exit, status=255, signal=0
[2019-05-09 15:20:36 ^6829.1]	ERROR	zm_deactivate_swoole (ERRNO 503): Fatal error: Cannot declare class App\Controllers\Api\RestController, because the name is already in use in /Users/terminus/workspace/php/swofts/app/Controllers/Api/UserController.php on line 23
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#1[pid=6829] abnormal exit, status=255, signal=0
[2019-05-09 15:20:36 $1950.0]	WARNING	swManager_check_exit_status: worker#0[pid=6830] abnormal exit, status=255, signal=0
